"nb_villes","meth_decroiss_temp","amplitude","temp_init","temp_finale","nb_rep_max","alpha","resultat"
100,0,1,1000,1,100,"0,5","316,5256652000"
100,0,1,1000,1,100,"1","367,9862570000"
100,0,1,1000,1,100,"3","441,0812700000"
100,0,1,1000,1,100,"5","420,4062648000"
100,0,1,1000,1,500,"0,5","267,1495948000"
100,0,1,1000,1,500,"1","294,1159490000"
100,0,1,1000,1,500,"3","372,2142440000"
100,0,1,1000,1,500,"5","402,5449060000"
100,0,1,1000,1,1000,"0,5","257,6844888000"
100,0,1,1000,1,1000,"1","282,6511706000"
100,0,1,1000,1,1000,"3","363,8322222000"
100,0,1,1000,1,1000,"5","396,2506628000"
100,0,1,500,1,100,"0,5","320,4244042000"
100,0,1,500,1,100,"1","378,4541080000"
100,0,1,500,1,100,"3","436,5361140000"
100,0,1,500,1,100,"5","409,3167400000"
100,0,1,500,1,500,"0,5","270,7592916000"
100,0,1,500,1,500,"1","315,3212566000"
100,0,1,500,1,500,"3","303,1005610000"
100,0,1,500,1,500,"5","386,6280054000"
100,0,1,500,1,1000,"0,5","252,6674710000"
100,0,1,500,1,1000,"1","295,3664052000"
100,0,1,500,1,1000,"3","305,6207188000"
100,0,1,500,1,1000,"5","396,2471922000"
100,0,1,100,1,100,"0,5","302,4652660000"
100,0,1,100,1,100,"1","364,1413078000"
100,0,1,100,1,100,"3","441,4313260000"
100,0,1,100,1,100,"5","429,7401720000"
100,0,1,100,1,500,"0,5","264,0912272000"
100,0,1,100,1,500,"1","326,0014550000"
100,0,1,100,1,500,"3","363,1584868000"
100,0,1,100,1,500,"5","397,9189380000"
100,0,1,100,1,1000,"0,5","260,1265930000"
100,0,1,100,1,1000,"1","303,9526248000"
100,0,1,100,1,1000,"3","372,1389608000"
100,0,1,100,1,1000,"5","387,0284280000"
100,0,1,1000,501,100,"0,5","428,3874166000"
100,0,1,1000,501,100,"1","443,6002472000"
100,0,1,1000,501,100,"3","449,4050520000"
100,0,1,1000,501,100,"5","452,6920340000"
100,0,1,1000,501,500,"0,5","429,2182164000"
100,0,1,1000,501,500,"1","431,8745562000"
100,0,1,1000,501,500,"3","441,9355814000"
100,0,1,1000,501,500,"5","448,1246150000"
100,0,1,1000,501,1000,"0,5","425,5324834000"
100,0,1,1000,501,1000,"1","432,8184002000"
100,0,1,1000,501,1000,"3","422,8950446000"
100,0,1,1000,501,1000,"5","431,7253950000"
100,0,1,1000,901,100,"0,5","452,4483950000"
100,0,1,1000,901,100,"1","452,4483950000"
100,0,1,1000,901,100,"3","452,4483950000"
100,0,1,1000,901,100,"5","438,7487630000"
100,0,1,1000,901,500,"0,5","436,7572450000"
100,0,1,1000,901,500,"1","440,7065870000"
100,0,1,1000,901,500,"3","440,7065870000"
100,0,1,1000,901,500,"5","440,7065870000"
100,0,1,1000,901,1000,"0,5","435,0329956000"
100,0,1,1000,901,1000,"1","432,4354716000"
100,0,1,1000,901,1000,"3","435,0174870000"
100,0,1,1000,901,1000,"5","446,6528176000"
100,0,3,1000,1,100,"0,5","335,6173444000"
100,0,3,1000,1,100,"1","365,4043946000"
100,0,3,1000,1,100,"3","398,0337790000"
100,0,3,1000,1,100,"5","403,5458920000"
100,0,3,1000,1,500,"0,5","276,3428296000"
100,0,3,1000,1,500,"1","309,1052688000"
100,0,3,1000,1,500,"3","390,8516566000"
100,0,3,1000,1,500,"5","403,9386450000"
100,0,3,1000,1,1000,"0,5","267,3423878000"
